ID_Region,Region,ParentRegion,RegionType,,,
263,Frances Baard District Municipality,9,District Municipality,,,
264,Gert Sibande District Municipality,3,District Municipality,,,
265,iLembe District Municipality,2,District Municipality,,,
266,Joe Gqabi District Municipality,6,District Municipality,,,
267,John Taolo Gaetsewe District Municipality,9,District Municipality,,,
268,Lejweleputswa District Municipality,8,District Municipality,,,
270,Mopani District Municipality,5,District Municipality,,,
271,Namakwa District Municipality,9,District Municipality,,,
273,Ngaka Modiri Molema District Municipality,7,District Municipality,,,
274,Nkangala District Municipality,3,District Municipality,,,
275,OR Tambo District Municipality,6,District Municipality,,,
276,Overberg District Municipality,4,District Municipality,,,
277,Pixley ka Seme District Municipality,9,District Municipality,,,
278,Sedibeng District Municipality,1,District Municipality,,,
279,Sekhukhune District Municipality,5,District Municipality,,,
280,Sisonke District Municipality,2,District Municipality,,,
281,Siyanda District Municipality,9,District Municipality,,,
282,Thabo Mofutsanyana District Municipality,8,District Municipality,,,
283,Ugu District Municipality,2,District Municipality,,,
284,uMgungundlovu District Municipality,2,District Municipality,,,
285,uMkhanyakude District Municipality,2,District Municipality,,,
286,uMzinyathi District Municipality,2,District Municipality,,,
287,uThukela District Municipality,2,District Municipality,,,
288,uThungulu District Municipality,2,District Municipality,,,
289,Vhembe District Municipality,5,District Municipality,,,
290,Waterberg District Municipality,5,District Municipality,,,
291,West Coast District Municipality,4,District Municipality,,,
292,West Rand District Municipality,1,District Municipality,,,
293,Xhariep District Municipality,8,District Municipality,,,
294,Zululand District Municipality,2,District Municipality,,,
295,!Kheis Local Municipality,79,Local Municipality,,,
296,//Khara Hais Local Municipality,220,Local Municipality,,,
297,Abaqulusi Local Municipality,230,Local Municipality,,,
298,Aganang Local Municipality,107,Local Municipality,,,
299,Albert Luthuli Local Municipality,40,Local Municipality,,,
300,Amahlathi Local Municipality,208,Local Municipality,,,
301,Ba-Phalaborwa Local Municipality,170,Local Municipality,,,
302,Baviaans Local Municipality,237,Local Municipality,,,
303,Beaufort West Local Municipality,17,Local Municipality,,,
304,Bela-Bela Local Municipality,18,Local Municipality,,,
305,Bergrivier Local Municipality,174,Local Municipality,,,
306,Bitou Local Municipality,175,Local Municipality,,,
307,Blouberg Local Municipality,201,Local Municipality,,,
308,Blue Crane Route Local Municipality,204,Local Municipality,,,
309,Breede Valley Local Municipality,240,Local Municipality,,,
310,Buffalo City Metropolitan Municipality,60,Local Municipality,,,
311,Bushbuckridge Local Municipality,32,Local Municipality,,,
312,Camdeboo Local Municipality,75,Local Municipality,,,
313,Cape Agulhas Local Municipality,27,Local Municipality,,,
314,Cederberg Local Municipality,44,Local Municipality,,,
315,City of Cape Town Metropolitan Municipality,37,Local Municipality,,,
316,City of Johannesburg Metropolitan Municipality,96,Local Municipality,,,
317,City of Matlosana Local Municipality,103,Local Municipality,,,
318,City of Tshwane Metropolitan Municipality,186,Local Municipality,,,
319,Dannhauser Local Municipality,50,Local Municipality,,,
320,Dihlabeng Local Municipality,21,Local Municipality,,,
321,Dikgatlong Local Municipality,16,Local Municipality,,,
322,Dipaleseng Local Municipality,14,Local Municipality,,,
323,Ditsobotla Local Municipality,124,Local Municipality,,,
324,Dr JS Moroka Local Municipality,203,Local Municipality,,,
325,Drakenstein Local Municipality,165,Local Municipality,,,
326,eDumbe Local Municipality,167,Local Municipality,,,
327,Ekurhuleni Metropolitan Municipality,73,Local Municipality,,,
328,Elias Motsoaledi Local Municipality,78,Local Municipality,,,
329,Elundini Local Municipality,127,Local Municipality,,,
330,eMadlangeni Local Municipality,221,Local Municipality,,,
331,Emakhazeni Local Municipality,19,Local Municipality,,,
332,Emalahleni Local Municipality,117,Local Municipality,,,
333,Emalahleni Local Municipality,238,Local Municipality,,,
334,Emfuleni Local Municipality,222,Local Municipality,,,
335,Emnambithi/Ladysmith Local Municipality,120,Local Municipality,,,
336,Emthanjeni Local Municipality,51,Local Municipality,,,
337,Endumeni Local Municipality,57,Local Municipality,,,
338,Engcobo Local Municipality,158,Local Municipality,,,
339,Ephraim Mogale Local Municipality,134,Local Municipality,,,
340,eThekwini Metropolitan Municipality,58,Local Municipality,,,
341,Ezingoleni Local Municipality,92,Local Municipality,,,
342,Fetakgomo Local Municipality,12,Local Municipality,,,
343,Ga-Segonyana Local Municipality,112,Local Municipality,,,
344,Gamagara Local Municipality,100,Local Municipality,,,
345,Gariep Local Municipality,30,Local Municipality,,,
346,George Local Municipality,72,Local Municipality,,,
347,Govan Mbeki Local Municipality,200,Local Municipality,,,
348,Great Kei Local Municipality,108,Local Municipality,,,
349,Greater Giyani Local Municipality,74,Local Municipality,,,
350,Greater Kokstad Local Municipality,106,Local Municipality,,,
351,Greater Letaba Local Municipality,141,Local Municipality,,,
352,Greater Taung Local Municipality,211,Local Municipality,,,
353,Greater Tubatse Local Municipality,31,Local Municipality,,,
354,Greater Tzaneen Local Municipality,217,Local Municipality,,,
355,Hantam Local Municipality,35,Local Municipality,,,
356,Hessequa Local Municipality,195,Local Municipality,,,
357,Hibiscus Coast Local Municipality,182,Local Municipality,,,
358,Hlabisa Local Municipality,85,Local Municipality,,,
359,Ikwezi Local Municipality,94,Local Municipality,,,
360,Imbabazane Local Municipality,162,Local Municipality,,,
361,Impendle Local Municipality,90,Local Municipality,,,
362,Indaka Local Municipality,233,Local Municipality,,,
363,Ingquza Hill Local Municipality,66,Local Municipality,,,
364,Ingwe Local Municipality,48,Local Municipality,,,
365,Inkwanca Local Municipality,144,Local Municipality,,,
366,Intsika Yethu Local Municipality,45,Local Municipality,,,
367,Inxuba Yethemba Local Municipality,47,Local Municipality,,,
368,Joe Morolong Local Municipality,148,Local Municipality,,,
369,Jozini Local Municipality,97,Local Municipality,,,
370,Kagisano-Molopo Local Municipality,69,Local Municipality,,,
371,Kai !Garib Local Municipality,98,Local Municipality,,,
372,Kamiesberg Local Municipality,70,Local Municipality,,,
373,Kannaland Local Municipality,116,Local Municipality,,,
374,Kareeberg Local Municipality,39,Local Municipality,,,
375,Karoo Hoogland Local Municipality,236,Local Municipality,,,
376,Kgatelopele Local Municipality,49,Local Municipality,,,
377,Kgetlengrivier Local Municipality,109,Local Municipality,,,
